DATE,QTR,EPS,EPS_CONSENSUS,SURPRISE,REVENUE,REVENUE_CONSENSUS
2019-04-24,Q119,$0.85,$1.63,-$0.78,$15.08B,$14.97B
2019-01-30,Q418,$2.38,$2.19,+$0.19,$16.91B,$16.4B
2018-10-30,Q318,$1.76,$1.47,+$0.29,$13.73B,$13.78B
2018-07-25,Q218,$1.74,$1.72,+$0.02,$13.23B,$13.36B
2018-04-25,Q118,$1.69,$1.35,+$0.34,$11.97B,$11.41B
2018-01-31,Q417,$1.44,$1.95,-$0.51,$12.97B,$12.55B
2017-11-01,Q317,$1.59,$1.28,+$0.31,$10.33B,$9.84B
2017-07-26,Q217,$1.32,$1.13,+$0.19,$9.16B,$9.2B
2017-05-03,Q117,$1.04,$1.12,-$0.08,$8.03B,$7.83B
2017-02-01,Q416,$1.41,$1.31,+$0.10,$8.81B,$8.51B
2016-11-02,Q316,$1.09,$0.97,+$0.12,$7B,$6.92B
2016-07-27,Q216,$0.97,$0.82,+$0.15,$6.44B,$6.02B
2016-04-27,Q116,$0.77,$0.62,+$0.15,N/A,$5.25B
2016-01-27,Q415,$0.79,$0.68,+$0.11,$5.84B,$5.37B
2015-11-04,Q315,$0.57,$0.52,+$0.05,$4.5B,$4.37B
2015-07-29,Q215,$0.50,$0.47,+$0.03,$4.04B,$3.99B
2015-04-22,Q115,$0.42,$0.40,+$0.02,$3.54B,$3.56B
2015-01-28,Q414,$0.54,$0.48,+$0.06,N/A,$3.78B
2014-10-28,Q314,$0.43,$0.40,+$0.03,$3.2B,$3.11B
2014-07-23,Q214,$0.42,$0.32,+$0.10,$2.9B,$2.8B
2014-04-23,Q114,$0.34,$0.24,+$0.10,$2.5B,$2.34B
2014-01-29,Q413,$0.31,$0.27,+$0.04,$2.59B,$2.33B
2013-10-30,Q313,$0.25,$0.19,+$0.06,$2.02B,$1.91B
2013-07-24,Q213,$0.19,$0.14,+$0.05,$1.18B,$1.62B
2013-05-01,Q113,$0.12,$0.13,-$0.01,$1.46B,$1.44B
2013-01-30,Q412,$0.17,$0.15,+$0.02,$1.59B,$1.52B
2012-10-23,Q312,$0.12,$0.11,+$0.01,$1.62B,$1.23B
2012-07-26,Q212,$0.12,$0.12,$0.00,$1.18B,$1.15B
