DATE,QTR,EPS,EPS_CONSENSUS,SURPRISE,REVENUE,REVENUE_CONSENSUS
2019-04-24,Q319,$1.14,$1.00,+$0.14,$30.6B,$29.84B
2019-01-30,Q219,$1.08,$1.09,-$0.01,$32.5B,$32.5B
2018-10-24,Q119,$1.14,$0.96,+$0.18,$29.1B,$27.9B
2018-07-19,Q418,$1.14,$1.08,+$0.06,$30.1B,$29.21B
2018-04-26,Q318,$0.95,$0.85,+$0.10,$26.82B,$25.77B
2018-01-31,Q218,$0.96,$0.86,+$0.10,$28.92B,$28.39B
2017-10-26,Q118,$0.84,$0.72,+$0.12,$24.5B,$23.56B
2017-07-20,Q417,$0.98,$0.71,+$0.27,$24.7B,$24.27B
2017-04-27,Q317,$0.73,$0.70,+$0.03,$23.6B,$23.62B
2017-01-26,Q217,$0.84,$0.79,+$0.05,$25.8B,$25.28B
2016-10-20,Q117,$0.76,$0.68,+$0.08,$22.3B,$21.71B
2016-07-19,Q416,$0.69,$0.58,+$0.11,$22.6B,$22.14B
2016-04-21,Q316,$0.62,$0.64,-$0.02,$20.5B,$22.09B
2016-01-28,Q216,$0.78,$0.71,+$0.07,$25.7B,$25.26B
2015-10-22,Q116,$0.57,$0.59,-$0.02,$20.4B,$21.03B
2015-07-21,Q415,$0.62,$0.56,+$0.06,$22.2B,$22.06B
2015-04-23,Q315,$0.62,$0.51,+$0.11,$20.4B,$21.06B
2015-01-26,Q215,$0.71,$0.71,$0.00,$26.5B,$26.2B
2014-10-23,Q115,$0.65,$0.55,+$0.10,$23.2B,$22.02B
2014-07-22,Q414,$0.52,$0.61,-$0.09,$23.38B,$23.11B
2014-04-24,Q314,$0.68,$0.63,+$0.05,$20.4B,$20.38B
2014-01-23,Q214,$0.76,$0.68,+$0.08,$24.5B,$23.67B
2013-10-24,Q114,$0.62,$0.55,+$0.07,$18.53B,$17.83B
2013-07-18,Q413,$0.66,$0.75,-$0.09,$19.9B,$20.73B
2013-04-18,Q313,$0.72,$0.68,+$0.04,$20.49B,$20.56B
2013-01-24,Q213,$0.76,$0.75,+$0.01,$21.46B,$21.53B
2012-10-18,Q113,$0.53,$0.56,-$0.03,$16.01B,$16.42B
2012-07-19,Q412,$0.73,$0.62,+$0.11,$18.06B,$18.14B
2012-04-19,Q312,$0.60,$0.58,+$0.02,$17.41B,$17.18B
2012-01-19,Q212,$0.78,$0.76,+$0.02,$20.89B,$20.93B
2011-10-20,Q112,$0.68,$0.68,$0.00,$17.37B,$17.25B
2011-07-21,Q411,$0.69,$0.58,+$0.11,$17.37B,$17.25B
2011-04-28,Q311,$0.61,$0.56,+$0.05,$16.43B,$16.2B
2011-01-27,Q211,$0.77,$0.68,+$0.09,$19.95B,$19.14B
2010-10-28,Q111,$0.62,$0.55,+$0.07,N/A,N/A
