DATE,QTR,EPS,EPS_CONSENSUS,SURPRISE,REVENUE,REVENUE_CONSENSUS
2019-04-24,Q119,-$2.90,-$0.69,-$2.21,$4.54B,$5.33B
2019-01-30,Q418,$1.93,N/A,N/A,$7.23B,$7.07B
2018-10-24,Q318,$2.90,-$0.19,+$3.09,N/A,$6.3B
2018-08-01,Q218,-$3.06,-$2.92,-$0.14,$4B,$3.92B
2018-05-02,Q118,-$3.35,-$3.58,+$0.23,$3.41B,$3.22B
2018-02-07,Q417,-$3.04,-$3.12,+$0.08,$3.29B,$3.28B
2017-11-01,Q317,-$2.92,-$2.30,-$0.62,$2.98B,$2.94B
2017-08-02,Q217,-$1.33,-$1.80,+$0.47,$2.79B,$2.55B
2017-05-03,Q117,-$1.33,-$0.81,-$0.52,$2.7B,$2.6B
2017-02-22,Q416,-$0.64,-$0.43,-$0.21,$2.28B,$2.18B
2016-10-26,Q316,$0.71,-$0.54,+$1.25,$2.3B,$2.35B
2016-08-03,Q216,-$1.06,-$0.56,-$0.50,N/A,$1.67B
2016-05-04,Q116,-$0.57,-$0.60,+$0.03,$1.6B,$1.6B
2016-02-10,Q415,-$0.87,$0.08,-$0.95,$1.75B,$1.79B
2015-11-03,Q315,-$0.58,-$0.56,-$0.02,$963.8M,$1.26B
2015-08-05,Q215,-$0.48,-$0.60,+$0.12,$955M,$1.17B
2015-05-06,Q115,-$0.36,-$0.49,+$0.13,$939.88B,$1.04B
2015-02-11,Q414,-$0.13,$0.31,-$0.44,$957M,$1.23B
2014-11-05,Q314,$0.02,$0.00,+$0.02,N/A,$893.6M
2014-07-31,Q214,$0.11,$0.04,+$0.07,$769.35M,$810.57M
2014-05-07,Q114,$0.12,$0.10,+$0.02,$620.54M,$699.1M
2014-02-19,Q413,$0.33,$0.26,+$0.07,$615M,$657.15M
2013-11-05,Q313,$0.12,$0.10,+$0.02,$431.35M,$535.41M
2013-08-07,Q213,$0.20,$0.20,$0.00,$405M,$393.4M
2013-05-08,Q113,$0.12,$0.04,+$0.08,$562M,$492.02M
2013-02-20,Q412,-$0.65,-$0.53,-$0.12,$306M,$298.9M
2012-11-05,Q312,-$0.92,-$0.90,-$0.02,$50.1M,$48.47M
2012-07-25,Q212,-$0.89,-$0.93,+$0.04,$27M,$30.65M
2012-05-09,Q112,-$0.76,-$0.69,-$0.07,$30.2M,$32M
2012-02-15,Q411,-$0.69,-$0.63,-$0.06,$39.4M,$38.45M
2011-11-02,Q311,-$0.55,-$0.59,+$0.04,N/A,$47.28M
2011-08-03,Q211,-$0.53,-$0.51,-$0.02,$58M,$48.79M
2011-05-04,Q111,-$0.44,-$0.52,+$0.08,$49M,$43.3M
2011-02-15,Q410,-$0.47,-$0.50,+$0.03,$36.3M,$34.32M
2010-11-09,Q310,-$0.37,-$0.43,+$0.06,N/A,N/A
