DATE,QTR,EPS,EPS_CONSENSUS,SURPRISE,REVENUE,REVENUE_CONSENSUS
2019-07-18,Q219,N/A,$3.45,N/A,N/A,$60.58B
2019-04-16,Q119,$3.73,$3.59,+$0.14,$60.3B,$59.71B
2019-01-15,Q418,$3.28,$3.21,+$0.07,$58.4B,$57.99B
2018-10-16,Q318,$3.41,$3.29,+$0.12,$56.6B,$56.34B
2018-07-17,Q218,$3.14,$3.02,+$0.12,$56.1B,$56.08B
2018-04-17,Q118,$3.04,$2.91,+$0.13,$55.2B,$54.83B
2018-01-16,Q417,$2.59,$2.51,+$0.08,$52.1B,$51.5B
2017-10-17,Q317,$2.66,$2.56,+$0.10,$50.3B,$50.35B
2017-07-18,Q217,$2.46,$2.38,+$0.08,$50.1B,$50.06B
2017-04-18,Q117,$2.37,$2.17,+$0.20,$48.7B,$48.27B
2017-01-17,Q416,$2.11,$2.07,+$0.04,$47.5B,$47.16B
2016-10-18,Q316,$2.17,$2.08,+$0.09,$46.3B,$46.09B
2016-07-19,Q216,$1.96,$1.89,+$0.07,$46.5B,$45.05B
2016-04-19,Q116,$1.81,$1.72,+$0.09,$44.5B,$43.96B
2016-01-19,Q415,$1.40,$1.38,+$0.02,$43.6B,$43.26B
2015-10-15,Q315,$1.65,$1.64,+$0.01,$41.5B,$40.18B
2015-07-16,Q215,$1.64,$1.59,+$0.05,$36.3B,$35.66B
2015-04-16,Q115,$1.46,$1.34,+$0.12,$35.8B,$34.54B
2015-01-21,Q414,$1.55,$1.50,+$0.05,$33.4B,$33.11B
2014-10-16,Q314,$1.63,$1.53,+$0.10,$32.8B,$32.7B
2014-07-17,Q214,$1.42,$1.26,+$0.16,$32.6B,$32.01B
2014-04-17,Q114,$1.10,$1.09,+$0.01,$31.7B,$32.03B
2014-01-16,Q413,$1.41,$1.41,$0.00,$31.1B,$31.06B
2013-10-17,Q313,$1.53,$1.52,+$0.01,$60.6B,$30.8B
2013-07-18,Q213,$1.40,$1.25,+$0.15,$30.4B,$30.48B
2013-04-18,Q113,$1.16,$1.14,+$0.02,$30.3B,$30.49B
2013-01-17,Q412,$1.20,$1.19,+$0.01,$28.77B,$28.13B
2012-10-16,Q312,$1.50,$1.46,+$0.04,$27.3M,$27.53M
2012-07-19,Q212,$1.27,$1.19,+$0.08,$27.3B,$27.34B
2012-04-19,Q112,$1.31,$1.16,+$0.15,$27.3B,$27.17B
2012-01-19,Q411,$1.17,$1.03,+$0.14,$25.9B,$25.7B
2011-10-18,Q311,$1.17,$1.11,+$0.06,$25.3B,$25.45B
2011-07-19,Q211,$1.16,$0.91,+$0.25,$25.23M,$25.24B
2011-04-21,Q111,$1.22,$0.89,+$0.33,$25.4M,$24.93B
2011-01-20,Q410,$0.94,$0.84,+$0.10,$24.03B,$23.74B
2010-10-19,Q310,$1.14,$0.84,+$0.30,N/A,N/A
