DATE,QTR,EPS,EPS_CONSENSUS,SURPRISE,REVENUE,REVENUE_CONSENSUS
2019-04-24,Q219,$1.31,$1.24,+$0.07,$5.5B,$5.46B
2019-01-30,Q119,$1.30,$1.25,+$0.05,$5.5B,$5.41B
2018-10-24,Q418,$1.21,$1.20,+$0.01,$5.4B,$5.44B
2018-07-25,Q318,$1.20,$1.09,+$0.11,$5.2B,$5.09B
2018-04-25,Q218,$1.11,$1.02,+$0.09,$5.1B,$4.81B
2018-02-01,Q118,$1.08,$0.99,+$0.09,$4.86B,$4.84B
2017-10-25,Q417,$0.90,$0.85,+$0.05,$4.9B,$4.63B
2017-07-20,Q317,$0.86,$0.81,+$0.05,$4.6B,$4.36B
2017-04-20,Q217,$0.86,$0.79,+$0.07,$4.5B,$4.31B
2017-02-02,Q117,$0.69,$0.78,-$0.09,$4.5B,$4.29B
2016-10-24,Q416,$0.78,$0.73,+$0.05,$4.26B,$4.23B
2016-07-21,Q316,$0.69,$0.66,+$0.03,$3.63B,$3.65B
2016-04-21,Q216,$0.68,$0.67,+$0.01,$3.6B,$3.6B
2016-01-28,Q116,$0.69,$0.68,+$0.01,$3.57B,$3.62B
2015-11-02,Q415,$0.62,$0.63,-$0.01,$3.6B,$3.57B
2015-07-23,Q315,$0.74,$0.59,+$0.15,$3.52B,$3.36B
2015-04-30,Q215,$0.63,$0.62,+$0.01,$3.4B,$3.34B
2015-01-29,Q115,$0.63,$0.62,+$0.01,$3.4B,$3.35B
2014-10-29,Q414,$0.55,$0.53,+$0.02,$3.2B,$3.19B
2014-07-24,Q314,$0.54,$0.53,+$0.01,$3.16B,$3.15B
2014-04-24,Q214,$0.55,$0.55,$0.00,$3.16B,$3.19B
2014-01-30,Q114,$0.55,$0.54,+$0.01,$3.16B,$3.12B
2013-10-30,Q413,$0.46,$0.46,$0.00,$3B,$3.02B
2013-07-24,Q313,$0.47,$0.45,+$0.02,$3B,$2.89B
2013-05-01,Q213,$0.48,$0.45,+$0.03,$3B,$2.85B
2013-02-06,Q113,$0.46,$0.45,+$0.01,$2.85B,$2.82B
2012-10-31,Q412,$0.39,$0.37,+$0.02,$2.73B,$2.67B
2012-07-25,Q312,$0.39,$0.36,+$0.03,$2.6B,$2.52B
2012-05-02,Q212,$0.40,$0.38,+$0.02,$2.58B,$2.48B
2012-02-08,Q112,$0.37,$0.36,+$0.01,$2.55B,$2.47B
2011-10-26,Q411,$0.32,$0.31,+$0.01,$2.38B,$2.39B
2011-07-27,Q211,$0.32,$0.31,+$0.01,$2.32B,$2.3B
2011-05-05,Q211,$0.31,$0.30,+$0.01,$2.25M,$2.23B
2011-02-02,Q410,$0.31,$0.30,+$0.01,$2.2B,$2.22B
2010-10-27,Q410,$0.24,$0.24,$0.00,N/A,N/A
